segment_id,start_time_sec,end_time_sec,transcription,topic_tag,reading,filename
29,168.802192,174.620759,ガオガエンが当てて勝利ですねもうボクシングとプロレスのね対決見ているかのようでしたけれども,対戦風景,がおがえんがあててしょーりですねもーぼくしんぐとぷろれすのねたいけつみているかのよーでしたけれども,MM3output_id29_delay-1.5.mp4
32,164.686985,169.235171,いいですね決めたも何のポーズか分からないけど完全に決めた,対戦結果,いーですねきめたもなんのぽーずかわからないけどかんぜんにきめた,FF4output_id32_delay-1.5.mp4
6,18.504308,25.509567,隙が少ないなので意外とね A ボタンの連打で固めたりも出来るんで結構ね使いこなせば強いと思います,ファイター,すきがすくないなのでいがいとねえーぼたんのれんだでかためたりもできるんでけっこーねつかいこなせばつよいとおもいます,FF2output_id6_delay-1.25.mp4
4,15.987592,19.579518,フォックスの使い方わかってますねプレイヤーワンもう,ファイター,ふぉっくすのつかいかたわかってますねぷれーやーわんもー,FF3output_id4_delay-1.25.mp4
17,93.223383,97.030031,さあうまくパンチを当てて行ったリトルマックスピード活かした動き,対戦風景,さーうまくぱんちをあてていったりとるまっくすぴーどいかしたうごき,MM3output_id17_delay-1.0.mp4
29,160.52902,165.002583,この試合はどちらですかねパックマンが勝利しましたかメタナイト勝利ですね,対戦結果,このしあいわどちらですかねぱっくまんがしょーりしましたかめたないとしょーりですね,MF14output_id29_delay-1.0.mp4
9,43.422203,48.771165,さあクッパが取ったこれギガクッパとりあえずギガクッパに変身してしまえということですね,アイテム,さーくっぱがとったこれぎがくっぱとりあえずぎがくっぱにへんしんしてしまえとゆーことですね,MM1output_id9_delay-0.75.mp4
16,90.555843,95.836835,リンクもですねえ剣を使ったこのリーチの長い攻撃これをうまく活用していきたいですね,ファイター,りんくもですねえけんをつかったこのりーちのながいこーげきこれをうまくかつよーしていきたいですね,MF12output_id16_delay-0.75.mp4
26,142.482484,148.37086,あんまりそのシールドを使わないのでシールドをうまく使って相手の隙に大技を叩き込むという動きが,ファイター,あんまりそのしーるどをつかわないのでしーるどをうまくつかってあいてのすきにおーわざをたたきこむとゆーうごきが,MF12output_id26_delay-0.5.mp4
9,38.215275,41.722685,これの爆弾爆弾ちなみに投げることもできますね点滅しだしたら,アイテム,これのばくだんばくだんちなみになげることもできますねてんめつしだしたら,FF3output_id9_delay-0.5.mp4
33,169.683462,174.123719,上 B が炸裂でカービィの勝利ですねいい試合でした,対戦結果,うえびーがさくれつでかーびーのしょーりですねいーしあいでした,MF13output_id33_delay0.0.mp4
24,118.449688,124.372962,これビーム撃ったりなんかたしか雷鳴り出したりするんじゃなかったかなあそれはカプセルに入っている方か,アイテム,これびーむうったりなんかたしかかみなりだしたりするんじゃなかったかなあそれわかぷせるにはいっているほーか,FF2output_id24_delay0.0.mp4
