Row,Filename,topic_tag,Set
2065,MM3output_id27_delay-1.5.mp4,対戦風景,Set(2)1
480,MM1output_id24_delay-1.5.mp4,対戦風景,Set(2)1
3483,MM1output_id15_delay-1.25.mp4,対戦風景,Set(2)1
2810,MM2output_id18_delay-1.25.mp4,対戦風景,Set(2)1
940,MM4output_id27_delay-1.0.mp4,対戦風景,Set(2)1
1277,MF13output_id33_delay-1.0.mp4,対戦結果,Set(2)1
703,MF14output_id15_delay-0.75.mp4,対戦風景,Set(2)1
127,MM2output_id9_delay-0.75.mp4,アイテム,Set(2)1
3201,FF3output_id21_delay-0.5.mp4,対戦風景,Set(2)1
2072,MF12output_id14_delay-0.5.mp4,対戦風景,Set(2)1
2170,MF11output_id8_delay0.0.mp4,ファイター,Set(2)1
3083,MF22output_id11_delay0.0.mp4,アイテム,Set(2)1
2916,MF21output_id26_delay0.5.mp4,ファイター,Set(2)1
2197,MM1output_id13_delay0.5.mp4,対戦風景,Set(2)1
950,MF14output_id23_delay0.75.mp4,対戦風景,Set(2)1
2054,FF2output_id16_delay0.75.mp4,アイテム,Set(2)1
1288,MM1output_id3_delay1.0.mp4,ファイター,Set(2)1
2128,MM4output_id20_delay1.0.mp4,対戦風景,Set(2)1
1795,FF1output_id40_delay1.25.mp4,対戦風景,Set(2)1
1434,MM2output_id10_delay1.25.mp4,対戦風景,Set(2)1
2397,MM1output_id24_delay1.5.mp4,対戦風景,Set(2)1
1725,MF24output_id14_delay1.5.mp4,対戦風景,Set(2)1
694,MM4output_id8_delay1.75.mp4,アイテム,Set(2)1
2159,FF3output_id24_delay1.75.mp4,対戦風景,Set(2)1
937,MF13output_id3_delay-1.5.mp4,ファイター,Set(2)2
73,FF2output_id7_delay-1.5.mp4,ファイター,Set(2)2
2115,MF21output_id3_delay-1.25.mp4,対戦風景,Set(2)2
2186,MM2output_id29_delay-1.25.mp4,対戦風景,Set(2)2
3388,MF24output_id16_delay-1.0.mp4,対戦風景,Set(2)2
3509,MM1output_id2_delay-1.0.mp4,ファイター,Set(2)2
2527,MM2output_id9_delay-0.75.mp4,アイテム,Set(2)2
2407,MF24output_id23_delay-0.75.mp4,対戦風景,Set(2)2
1832,MM1output_id19_delay-0.5.mp4,対戦風景,Set(2)2
345,MF12output_id22_delay-0.5.mp4,対戦風景,Set(2)2
1570,MM3output_id25_delay0.0.mp4,対戦風景,Set(2)2
2266,FF1output_id20_delay0.0.mp4,対戦風景,Set(2)2
2436,FF2output_id13_delay0.5.mp4,対戦風景,Set(2)2
1812,MF11output_id23_delay0.5.mp4,対戦結果,Set(2)2
951,MF22output_id17_delay0.75.mp4,対戦風景,Set(2)2
1119,MF14output_id26_delay0.75.mp4,対戦風景,Set(2)2
3448,FF3output_id28_delay1.0.mp4,対戦結果,Set(2)2
2177,FF1output_id12_delay1.0.mp4,アイテム,Set(2)2
1387,MF12output_id9_delay1.25.mp4,対戦風景,Set(2)2
1074,MF24output_id20_delay1.25.mp4,対戦風景,Set(2)2
596,MF12output_id26_delay1.5.mp4,ファイター,Set(2)2
932,MF22output_id15_delay1.5.mp4,アイテム,Set(2)2
1607,MF24output_id7_delay1.75.mp4,アイテム,Set(2)2
287,MF11output_id22_delay1.75.mp4,アイテム,Set(2)2
1200,FF1output_id26_delay-1.5.mp4,ファイター,Set(2)3
2977,FF1output_id37_delay-1.5.mp4,対戦風景,Set(2)3
1610,MM4output_id11_delay-1.25.mp4,対戦風景,Set(2)3
651,MM1output_id9_delay-1.25.mp4,アイテム,Set(2)3
2500,MM3output_id16_delay-1.0.mp4,対戦風景,Set(2)3
3196,MF14output_id29_delay-1.0.mp4,対戦結果,Set(2)3
