Row,Filename,topic_tag,Set
908,FF2output_id31_delay-1.5.mp4,対戦風景,Set(2)1
548,MF22output_id20_delay-1.5.mp4,対戦風景,Set(2)1
431,MF23output_id23_delay-1.25.mp4,対戦風景,Set(2)1
575,FF1output_id45_delay-1.25.mp4,対戦風景,Set(2)1
841,MF21output_id11_delay-1.0.mp4,アイテム,Set(2)1
913,MM2output_id29_delay-1.0.mp4,対戦風景,Set(2)1
3242,MF13output_id27_delay-0.75.mp4,アイテム,Set(2)1
1586,MM1output_id25_delay-0.75.mp4,対戦風景,Set(2)1
2524,FF1output_id47_delay-0.5.mp4,対戦結果,Set(2)1
3412,MF13output_id24_delay-0.5.mp4,対戦風景,Set(2)1
294,MF13output_id24_delay0.0.mp4,対戦風景,Set(2)1
1327,MF23output_id1_delay0.0.mp4,対戦風景,Set(2)1
969,MF23output_id13_delay0.5.mp4,対戦風景,Set(2)1
2768,FF1output_id20_delay0.5.mp4,対戦風景,Set(2)1
3394,MM3output_id17_delay0.75.mp4,対戦風景,Set(2)1
394,MF23output_id13_delay0.75.mp4,対戦風景,Set(2)1
3012,MF23output_id9_delay1.0.mp4,ファイター,Set(2)1
709,MM2output_id20_delay1.0.mp4,対戦風景,Set(2)1
2511,MF12output_id7_delay1.25.mp4,対戦風景,Set(2)1
1598,FF2output_id20_delay1.25.mp4,対戦風景,Set(2)1
1600,MM2output_id27_delay1.5.mp4,対戦風景,Set(2)1
1408,MF22output_id21_delay1.5.mp4,対戦風景,Set(2)1
2299,MF21output_id8_delay1.75.mp4,アイテム,Set(2)1
427,FF1output_id16_delay1.75.mp4,アイテム,Set(2)1
3069,MM4output_id8_delay-1.5.mp4,アイテム,Set(2)2
740,MM4output_id16_delay-1.5.mp4,アイテム,Set(2)2
2327,MF12output_id20_delay-1.25.mp4,対戦風景,Set(2)2
2807,MF21output_id7_delay-1.25.mp4,対戦風景,Set(2)2
3505,FF3output_id21_delay-1.0.mp4,対戦風景,Set(2)2
577,MF23output_id8_delay-1.0.mp4,ファイター,Set(2)2
3386,MF22output_id10_delay-0.75.mp4,対戦風景,Set(2)2
171,FF1output_id36_delay-0.75.mp4,対戦風景,Set(2)2
125,MM2output_id29_delay-0.5.mp4,対戦風景,Set(2)2
2860,MF11output_id24_delay-0.5.mp4,対戦風景,Set(2)2
1974,MF12output_id6_delay0.0.mp4,対戦風景,Set(2)2
270,MM1output_id29_delay0.0.mp4,対戦風景,Set(2)2
2073,FF4output_id16_delay0.5.mp4,ファイター,Set(2)2
1929,MF21output_id17_delay0.5.mp4,対戦風景,Set(2)2
2506,MF14output_id20_delay0.75.mp4,対戦風景,Set(2)2
