Row,Filename_x,topic_tag_x,Set_x,Filename_y,topic_tag_y,Set_y
453,FF1output_id16_delay1.25.mp4,アイテム,Set1,FF2output_id16_delay-1.5.mp4,アイテム,Set(2)138
3347,MM3output_id24_delay1.75.mp4,対戦風景,Set1,MM1output_id12_delay0.75.mp4,アイテム,Set(2)117
1572,FF1output_id35_delay-1.5.mp4,対戦風景,Set2,MM2output_id31_delay1.0.mp4,対戦風景,Set(2)94
1395,FF1output_id32_delay-0.75.mp4,対戦風景,Set2,MF21output_id22_delay-0.75.mp4,アシストフィギュア,Set(2)123
2464,MM3output_id8_delay-0.5.mp4,アイテム,Set2,MM4output_id29_delay1.5.mp4,アイテム,Set(2)26
3007,MM3output_id19_delay0.75.mp4,アイテム,Set3,FF3output_id20_delay0.0.mp4,対戦風景,Set(2)99
800,FF1output_id22_delay1.0.mp4,ファイター,Set3,MF14output_id29_delay0.5.mp4,対戦結果,Set(2)10
246,FF1output_id13_delay0.5.mp4,アイテム,Set4,MM3output_id6_delay0.0.mp4,アイテム,Set(2)17
2660,MM3output_id13_delay1.0.mp4,対戦風景,Set4,MM2output_id7_delay-1.5.mp4,対戦風景,Set(2)78
752,FF1output_id21_delay1.0.mp4,対戦風景,Set4,MF11output_id15_delay0.5.mp4,ファイター,Set(2)85
938,FF1output_id24_delay-1.0.mp4,アイテム,Set5,MF12output_id8_delay-0.75.mp4,対戦風景,Set(2)40
2806,MM3output_id15_delay1.5.mp4,対戦風景,Set5,FF2output_id25_delay-1.25.mp4,対戦風景,Set(2)140
1560,FF1output_id35_delay-1.5.mp4,対戦風景,Set6,FF3output_id14_delay-1.0.mp4,アイテム,Set(2)5
423,FF1output_id16_delay-0.75.mp4,アイテム,Set6,MF21output_id21_delay1.25.mp4,アシストフィギュア,Set(2)17
1876,FF1output_id40_delay-0.5.mp4,対戦風景,Set6,MF13output_id21_delay-0.5.mp4,対戦風景,Set(2)25
3506,MM3output_id27_delay-1.0.mp4,対戦風景,Set7,FF4output_id18_delay-0.75.mp4,アイテム,Set(2)63
269,FF1output_id13_delay0.0.mp4,アイテム,Set7,FF2output_id9_delay-0.5.mp4,アイテム,Set(2)121
2790,MM3output_id15_delay0.5.mp4,対戦風景,Set7,FF1output_id40_delay0.0.mp4,対戦風景,Set(2)23
176,FF1output_id11_delay1.0.mp4,対戦風景,Set7,FF3output_id11_delay0.5.mp4,対戦風景,Set(2)43
564,FF1output_id18_delay-1.5.mp4,アイテム,Set8,FF3output_id18_delay1.0.mp4,対戦風景,Set(2)93
768,FF1output_id21_delay-1.5.mp4,対戦風景,Set8,FF1output_id10_delay-1.0.mp4,対戦風景,Set(2)111
2511,MM3output_id8_delay-0.75.mp4,アイテム,Set8,MF12output_id7_delay1.25.mp4,対戦風景,Set(2)1
639,FF1output_id19_delay-0.75.mp4,アイテム,Set8,MF14output_id29_delay1.25.mp4,対戦結果,Set(2)37
2742,MM3output_id14_delay0.5.mp4,対戦風景,Set8,FF1output_id44_delay0.0.mp4,ファイター,Set(2)117
1704,FF1output_id37_delay-1.5.mp4,対戦風景,Set9,MF23output_id19_delay-1.0.mp4,対戦風景,Set(2)115
1357,FF1output_id31_delay-1.25.mp4,ファイター,Set9,FF4output_id21_delay1.0.mp4,ファイター,Set(2)73
112,FF1output_id10_delay-0.5.mp4,対戦風景,Set9,MF12output_id26_delay1.5.mp4,ファイター,Set(2)52
785,FF1output_id22_delay0.0.mp4,ファイター,Set9,FF4output_id11_delay1.5.mp4,対戦風景,Set(2)128
1049,FF1output_id26_delay0.0.mp4,ファイター,Set9,MM1output_id16_delay1.5.mp4,対戦風景,Set(2)24
2854,MM3output_id16_delay1.5.mp4,対戦風景,Set9,FF3output_id22_delay-1.25.mp4,対戦風景,Set(2)31
